FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
3/25/2023,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1170,MKE,"Milwaukee, WI",PHX,"Phoenix, AZ",1830,2040,130,9,2049,2222,4,2015,2226,131,0,,0,225,226,213,1460,0,0,1,0,130
9/24/2021,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,6264,MCO,"Orlando, FL",LGA,"New York, NY",1255,1423,88,8,1431,1633,8,1535,1641,66,0,,0,160,138,122,950,66,0,0,0,0
8/9/2020,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3267,DFW,"Dallas/Fort Worth, TX",COS,"Colorado Springs, CO",1644,1641,-3,23,1704,1736,6,1746,1742,-4,0,,0,122,121,92,592,,,,,
3/4/2020,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,753,OGG,"Kahului, HI",OAK,"Oakland, CA",930,927,-3,7,934,1602,6,1625,1608,-17,0,,0,295,281,268,2349,,,,,
4/1/2019,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1668,CLT,"Charlotte, NC",ORD,"Chicago, IL",745,744,-1,28,812,841,17,913,858,-15,0,,0,148,134,89,599,,,,,
5/29/2020,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,194,FLL,"Fort Lauderdale, FL",MDW,"Chicago, IL",1350,1347,-3,13,1400,1533,5,1555,1538,-17,0,,0,185,171,153,1167,,,,,
11/21/2022,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1139,PWM,"Portland, ME",BWI,"Baltimore, MD",1210,1229,19,6,1235,1351,6,1355,1357,2,0,,0,105,88,76,452,,,,,
1/11/2019,Envoy Air,Envoy Air: MQ,MQ,20398,3535,MQT,"Marquette, MI",ORD,"Chicago, IL",830,829,-1,29,858,857,14,910,911,1,0,,0,100,102,59,303,,,,,
3/3/2023,Republic Airline,Republic Airline: YX,YX,20452,4580,DCA,"Washington, DC",IND,"Indianapolis, IN",1009,1007,-2,53,1100,1231,8,1219,1239,20,0,,0,130,152,91,500,0,0,20,0,0
11/10/2020,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,898,OGG,"Kahului, HI",PDX,"Portland, OR",1350,1332,-18,15,1347,2100,4,2109,2104,-5,0,,0,319,332,313,2562,,,,,
3/17/2020,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5729,SLC,"Salt Lake City, UT",SFO,"San Francisco, CA",2000,1955,-5,13,2008,2044,5,2118,2049,-29,0,,0,138,114,96,599,,,,,
10/10/2019,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2918,DTW,"Detroit, MI",BWI,"Baltimore, MD",2229,2241,12,17,2258,1,7,2358,8,10,0,,0,89,87,63,409,,,,,
1/1/2022,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1267,CAE,"Columbia, SC",ATL,"Atlanta, GA",615,611,-4,11,622,703,8,730,711,-19,0,,0,75,60,41,192,,,,,
12/26/2020,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,5532,LGA,"New York, NY",MIA,"Miami, FL",700,700,0,32,732,1007,8,1003,1015,12,0,,0,183,195,155,1096,,,,,
6/24/2023,Envoy Air,Envoy Air: MQ,MQ,20398,3799,SGF,"Springfield, MO",DFW,"Dallas/Fort Worth, TX",1044,1039,-5,10,1049,1143,9,1215,1152,-23,0,,0,91,73,54,364,,,,,
6/26/2023,Frontier Airlines Inc.,Frontier Airlines Inc.: F9,F9,20436,502,DEN,"Denver, CO",DFW,"Dallas/Fort Worth, TX",903,919,16,11,930,1153,10,1207,1203,-4,0,,0,124,104,83,641,,,,,
1/5/2023,Allegiant Air,Allegiant Air: G4,G4,20368,2587,PGD,"Punta Gorda, FL",PIA,"Peoria, IL",1533,1613,40,8,1621,1740,6,1721,1746,25,0,,0,168,153,139,1045,25,0,0,0,0
1/2/2023,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,260,ORD,"Chicago, IL",ATL,"Atlanta, GA",655,935,160,23,958,1224,10,957,1234,157,0,,0,122,119,86,606,157,0,0,0,0
10/17/2021,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,5377,LGA,"New York, NY",PIT,"Pittsburgh, PA",1659,1659,0,12,1711,1806,5,1835,1811,-24,0,,0,96,72,55,335,,,,,
1/4/2021,Republic Airline,Republic Airline: YX,YX,20452,3400,SAV,"Savannah, GA",ORD,"Chicago, IL",1100,1103,3,13,1116,1211,6,1233,1217,-16,0,,0,153,134,115,773,,,,,
6/13/2019,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5413,LAX,"Los Angeles, CA",PSP,"Palm Springs, CA",2134,2126,-8,15,2141,2210,6,2227,2216,-11,0,,0,53,50,29,110,,,,,
6/8/2023,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,123,SJU,"San Juan, PR",FLL,"Fort Lauderdale, FL",1753,1750,-3,15,1805,2029,6,2035,2035,0,0,,0,162,165,144,1046,,,,,
8/9/2019,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,813,LAX,"Los Angeles, CA",OGG,"Kahului, HI",845,839,-6,16,855,1121,7,1135,1128,-7,0,,0,350,349,326,2486,,,,,
1/2/2020,Envoy Air,Envoy Air: MQ,MQ,20398,3533,MSN,"Madison, WI",ORD,"Chicago, IL",1821,1815,-6,11,1826,1854,16,1924,1910,-14,0,,0,63,55,28,109,,,,,
4/21/2019,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2661,SAT,"San Antonio, TX",BWI,"Baltimore, MD",605,603,-2,6,609,1007,2,1020,1009,-11,0,,0,195,186,178,1407,,,,,
7/24/2019,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,371,MSP,"Minneapolis, MN",DTW,"Detroit, MI",2040,2037,-3,14,2051,2302,10,2325,2312,-13,0,,0,105,95,71,528,,,,,
5/6/2021,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2729,ATL,"Atlanta, GA",RDU,"Raleigh/Durham, NC",2123,2126,3,16,2142,2232,8,2247,2240,-7,0,,0,84,74,50,356,,,,,
3/28/2022,Envoy Air,Envoy Air: MQ,MQ,20398,3750,ORD,"Chicago, IL",ALO,"Waterloo, IA",1505,1500,-5,17,1517,1603,5,1617,1608,-9,0,,0,72,68,46,234,,,,,
7/12/2021,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,717,LAS,"Las Vegas, NV",ATL,"Atlanta, GA",805,831,26,17,848,1519,22,1505,1541,36,0,,0,240,250,211,1747,0,0,36,0,0
7/15/2019,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,119,DFW,"Dallas/Fort Worth, TX",OGG,"Kahului, HI",1120,1113,-7,22,1135,1337,7,1423,1344,-39,0,,0,483,451,422,3711,,,,,
7/4/2023,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,736,FLL,"Fort Lauderdale, FL",IND,"Indianapolis, IN",1820,1839,19,15,1854,2111,4,2100,2115,15,0,,0,160,156,137,1005,15,0,0,0,0
11/3/2022,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1058,CAE,"Columbia, SC",ATL,"Atlanta, GA",1159,1159,0,11,1210,1254,4,1313,1258,-15,0,,0,74,59,44,192,,,,,
3/12/2020,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1630,EWR,"Newark, NJ",PBI,"West Palm Beach/Palm Beach, FL",1500,1531,31,18,1549,1801,4,1757,1805,8,0,,0,177,154,132,1023,,,,,
1/31/2021,Allegiant Air,Allegiant Air: G4,G4,20368,1556,PGD,"Punta Gorda, FL",MDT,"Harrisburg, PA",1511,1507,-4,11,1518,1725,4,1740,1729,-11,0,,0,149,142,127,963,,,,,
3/13/2023,Republic Airline,Republic Airline: YX,YX,20452,5839,LGA,"New York, NY",STL,"St. Louis, MO",845,843,-2,37,920,1035,5,1046,1040,-6,0,,0,181,177,135,888,,,,,
10/13/2022,Horizon Air,Horizon Air: QX,QX,19687,2115,ANC,"Anchorage, AK",AKN,"King Salmon, AK",1505,1500,-5,17,1517,1609,3,1613,1612,-1,0,,0,68,72,52,288,,,,,
6/15/2022,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1795,DSM,"Des Moines, IA",PHX,"Phoenix, AZ",810,802,-8,16,818,859,10,905,909,4,0,,0,175,187,161,1149,,,,,
1/14/2021,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,5826,SBA,"Santa Barbara, CA",DFW,"Dallas/Fort Worth, TX",615,602,-13,11,613,1111,11,1125,1122,-3,0,,0,190,200,178,1316,,,,,
5/11/2021,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,4276,SAN,"San Diego, CA",SLC,"Salt Lake City, UT",1000,953,-7,11,1004,1229,6,1250,1235,-15,0,,0,110,102,85,626,,,,,
